example,p,best_M,best_cost_mean,best_cost_ci_low,best_cost_ci_high,M0_cost_mean,relative_improvement_vs_M0,n_seeds
seir,0,0,2.55331986014,2.55322084681,2.5534399907,2.55331986014,0,20
seir,0.125,0.03,2.58928248608,2.58913963472,2.58945107317,2.59451831067,0.00201803339158,20
seir,0.25,0.04,2.61452390415,2.61444182141,2.61465719794,2.62717061839,0.00481381534548,20
seir,0.375,0.1,2.63221913705,2.63190498183,2.63255144906,2.65527281377,0.00868222526852,20
seir,0.5,0.15,2.64069091621,2.6403610848,2.64094004995,2.68026967206,0.014766706599,20
seir,0.625,0.15,2.64678907946,2.64634217044,2.64710486539,2.70302713611,0.0208055834526,20
seir,0.75,0.5,2.64955545179,2.64955545179,2.64955545179,2.72446816683,0.0274962709994,20
seir,0.875,0.5,2.65010100762,2.65010100762,2.65010100762,2.74631365317,0.0350333784498,20
seir,1,0.5,2.65011563488,2.65011563488,2.65011563488,2.77498284089,0.0449974695934,20
sis,0,0,0.988870423092,0.988855210446,0.98889324206,0.988870423092,0,20
sis,0.125,0,1.01554661148,1.01550208276,1.0155762973,1.01554661148,0,20
sis,0.25,0.03,1.03924226739,1.03924226739,1.03924226739,1.04105129393,0.00173769203453,20
sis,0.375,0.03,1.06050093018,1.06050093018,1.06050093018,1.06547971737,0.00467281273012,20
sis,0.5,0.03,1.08020722462,1.08020722462,1.08020722462,1.08893814241,0.00801782713452,20
sis,0.625,0.03,1.09853070848,1.09853070848,1.09853070848,1.11154212712,0.0117057359479,20
sis,0.75,0.05,1.11557484055,1.11557484055,1.11557484055,1.13341521132,0.015740366456,20
sis,0.875,0.3,1.12895668536,1.12881812594,1.12909524478,1.15468788941,0.0222841204882,20
sis,1,0.75,1.13817204295,1.13817204295,1.13817204296,1.17549679479,0.031752321235,20
sysrisk,0,0.05,2.16996397806,2.16927678023,2.17070441352,2.18085266938,0.00499285966214,20
sysrisk,0.125,0.2,2.42581875859,2.42318959527,2.4293106979,2.55287342895,0.0497692791654,20
sysrisk,0.25,0.2,2.59392022829,2.58959377306,2.5989964599,2.9242704746,0.112968430648,20
sysrisk,0.375,0.3,2.74325254525,2.73461573784,2.75066001909,3.29472350241,0.16738004168,20
sysrisk,0.5,0.3,2.89620514807,2.8840021841,2.90704614485,3.6639016511,0.209529778945,20
sysrisk,0.625,0.6,2.96467807848,2.95922345778,2.97080190205,4.03143622803,0.264609952684,20
sysrisk,0.75,0.6,3.03639506443,3.02922661327,3.04406112254,4.3968886385,0.309421885777,20
sysrisk,0.875,0.6,3.12304659082,3.1143338603,3.13213937111,4.75970487225,0.343857093109,20
sysrisk,1,0.6,3.2296190476,3.21942857141,3.23962142855,5.11914285709,0.369109411916,20
