run_id,stage,task,solver,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,cost
s0_seir_ideal,stage0_smoke,idealized_profile,idealized,seir,4,3,0.9,,0.7,,0,0,3.30036992873
s0_seir_ideal,stage0_smoke,idealized_profile,idealized,seir,4,3,0.9,,0.7,,0,0.3,3.3363720219
s0_seir_ideal,stage0_smoke,idealized_profile,idealized,seir,4,3,0.9,,0.7,,1,0,3.40977142794
s0_seir_ideal,stage0_smoke,idealized_profile,idealized,seir,4,3,0.9,,0.7,,1,0.3,3.34702618987
s0_seir_sampled_seed00,stage0_smoke,sampled_profile,sampled,seir,4,3,0.9,0,0.7,2000,0,0,3.30036992873
s0_seir_sampled_seed00,stage0_smoke,sampled_profile,sampled,seir,4,3,0.9,0,0.7,2000,0,0.3,3.30036992873
s0_seir_sampled_seed00,stage0_smoke,sampled_profile,sampled,seir,4,3,0.9,0,0.7,2000,1,0,3.40977142794
s0_seir_sampled_seed00,stage0_smoke,sampled_profile,sampled,seir,4,3,0.9,0,0.7,2000,1,0.3,3.40977142794
s0_sis_ideal,stage0_smoke,idealized_profile,idealized,sis,8,3,0.5,,0.7,,0,0,0.976814321628
s0_sis_ideal,stage0_smoke,idealized_profile,idealized,sis,8,3,0.5,,0.7,,0,0.3,0.990234794967
s0_sis_ideal,stage0_smoke,idealized_profile,idealized,sis,8,3,0.5,,0.7,,1,0,1.16068672835
s0_sis_ideal,stage0_smoke,idealized_profile,idealized,sis,8,3,0.5,,0.7,,1,0.3,1.12152777774
s0_sis_sampled_seed00,stage0_smoke,sampled_profile,sampled,sis,8,3,0.5,0,0.7,1000,0,0,0.977075107116
s0_sis_sampled_seed00,stage0_smoke,sampled_profile,sampled,sis,8,3,0.5,0,0.7,1000,0,0.3,0.990234794967
s0_sis_sampled_seed00,stage0_smoke,sampled_profile,sampled,sis,8,3,0.5,0,0.7,1000,1,0,1.12557870367
s0_sis_sampled_seed00,stage0_smoke,sampled_profile,sampled,sis,8,3,0.5,0,0.7,1000,1,0.3,1.12152777774
s0_sysrisk_ideal,stage0_smoke,idealized_profile,idealized,sysrisk,2,2,0.5,,0.7,,0,0,2.34999999993
s0_sysrisk_ideal,stage0_smoke,idealized_profile,idealized,sysrisk,2,2,0.5,,0.7,,0,0.3,2.48684210518
s0_sysrisk_ideal,stage0_smoke,idealized_profile,idealized,sysrisk,2,2,0.5,,0.7,,1,0,5.74999999994
s0_sysrisk_ideal,stage0_smoke,idealized_profile,idealized,sysrisk,2,2,0.5,,0.7,,1,0.3,3.66666666664
s0_sysrisk_sampled_seed00,stage0_smoke,sampled_profile,sampled,sysrisk,2,2,0.5,0,0.7,3000,0,0,2.34999999993
s0_sysrisk_sampled_seed00,stage0_smoke,sampled_profile,sampled,sysrisk,2,2,0.5,0,0.7,3000,0,0.3,2.48684210518
s0_sysrisk_sampled_seed00,stage0_smoke,sampled_profile,sampled,sysrisk,2,2,0.5,0,0.7,3000,1,0,5.74999999994
s0_sysrisk_sampled_seed00,stage0_smoke,sampled_profile,sampled,sysrisk,2,2,0.5,0,0.7,3000,1,0.3,3.66666666664
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0,0,2.55312955756
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0,0.005,2.55379879808
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0,0.01,2.55415546915
