run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id,outlier_threshold
s0_seir_sampled_seed00,stage0_smoke,seir,4,3,0.9,0,0.7,2000,1,0.3,3.40977142794,3.34702618987,0.062745238073,0.062745238073,0.0187465632217,s0_seir_ideal,0.01
s0_seir_sampled_seed00,stage0_smoke,seir,4,3,0.9,0,0.7,2000,0,0.3,3.30036992873,3.3363720219,-0.0360020931672,0.0360020931672,0.0107907909942,s0_seir_ideal,0.01
s0_sis_sampled_seed00,stage0_smoke,sis,8,3,0.5,0,0.7,1000,1,0,1.12557870367,1.16068672835,-0.0351080246855,0.0351080246855,0.0302476317062,s0_sis_ideal,0.01
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,1,0,5.12952380947,4.85333333329,0.276190476187,0.276190476187,0.0569073783357,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,10000000,1,0,5.06666666662,4.85333333329,0.21333333333,0.21333333333,0.0439560439558,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,0.75,0,4.40071544707,4.19400696856,0.206708478511,0.206708478511,0.0492866321064,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,5000000,1,0,5.05142857138,4.85333333329,0.198095238092,0.198095238092,0.0408163265304,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,5000000,1,0,5.05142857138,4.85333333329,0.198095238092,0.198095238092,0.0408163265304,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,5000000,1,0,5.03238095233,4.85333333329,0.179047619045,0.179047619045,0.0368916797487,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,1,0,5.01714285709,4.85333333329,0.163809523807,0.163809523807,0.0337519623232,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,10000000,1,0,5.01714285709,4.85333333329,0.163809523807,0.163809523807,0.0337519623232,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,10000000,0.75,0,4.35325783963,4.19400696856,0.159250871078,0.159250871078,0.0379710554303,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,5000000,0.75,0,4.33784322919,4.19400696856,0.143836260635,0.143836260635,0.034295665628,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,0.75,0,4.33759700387,4.19400696856,0.143590035314,0.143590035314,0.0342369567792,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,10000000,0.75,0,4.33759700387,4.19400696856,0.143590035314,0.143590035314,0.0342369567792,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,5000000,0.75,0,4.33685368215,4.19400696856,0.142846713597,0.142846713597,0.0340597225202,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,0.5,0,3.66601360538,3.52616780039,0.139845804988,0.139845804988,0.0396594299831,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,5000000,0.75,0,4.32893263638,4.19400696856,0.134925667827,0.134925667827,0.032171064292,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,10000000,1,0,4.979047619,4.85333333329,0.125714285713,0.125714285713,0.0259026687597,s1_sysrisk_samegrid,0.01
