stage,example,n,mean_abs_gap,max_abs_gap,q90_abs_gap,q95_abs_gap,q99_abs_gap
stage0_smoke,seir,4,0.0246868328101,0.062745238073,0.0547222946013,0.0587337663371,0.0619429437258
stage0_smoke,sis,4,0.00884220254352,0.0351080246855,0.0246538529264,0.029880938806,0.0340626075096
stage0_smoke,sysrisk,4,0,0,0,0,0
stage2_sysrisk_screen,sysrisk,600,0.0374937897016,0.276190476187,0.087619047619,0.106706349205,0.163961904759
stage3_final,seir,2880,0.00108286950309,0.0570101570316,0.00167711356019,0.00384360387319,0.0237190968342
stage3_final,sis,2880,0.000465541033076,0.019951923031,0.00111536387652,0.00402612919573,0.00726112999875
stage3_final,sysrisk,1800,0.0438211686306,0.499047619037,0.104214251889,0.164545471434,0.326512293257
stage3_seir_escalation,seir,1440,0.000833318958291,0.0529318500007,0.00138794138714,0.00223405284091,0.0189955667037
stage5_grid_sensitivity,seir,100,0.00148679035362,0.0095302555248,0.00276504810801,0.00448327532588,0.00783752886794
stage5_grid_sensitivity,sis,100,0.00034307625764,0.00335193452375,0.00164920274631,0.00237054834905,0.00312726934524
stage5_grid_sensitivity,sysrisk,100,0.131631569617,0.944761904745,0.502871828919,0.709307092715,0.937219047602
