example,n_disc,a_disc,p,best_M,best_cost
seir,10,10,0,0,2.41827209109
seir,10,10,0.125,0.02,2.46008968108
seir,10,10,0.25,0.05,2.48549105919
seir,10,10,0.375,0.08,2.50482335678
seir,10,10,0.5,0.15,2.51185719724
seir,10,10,0.625,0.15,2.5164807179
seir,10,10,0.75,0.3,2.51939994964
seir,10,10,0.875,0.3,2.51907841796
seir,10,10,1,0.3,2.51834617038
seir,12,10,0,0,2.30108539782
seir,12,10,0.125,0.01,2.33837777035
seir,12,10,0.25,0.03,2.36347511389
seir,12,10,0.375,0.08,2.38292179599
seir,12,10,0.5,0.15,2.3928089091
seir,12,10,0.625,0.2,2.39783447538
seir,12,10,0.75,0.5,2.40217445996
seir,12,10,0.875,0.5,2.40436292238
seir,12,10,1,0.5,2.40638477764
seir,8,10,0,0,2.55312955756
seir,8,10,0.125,0.03,2.58900193413
seir,8,10,0.25,0.04,2.61441560795
seir,8,10,0.375,0.1,2.63173322599
seir,8,10,0.5,0.15,2.64094004995
seir,8,10,0.625,0.15,2.64710486539
seir,8,10,0.75,0.5,2.64955545179
seir,8,10,0.875,0.5,2.65010100762
seir,8,10,1,0.5,2.65011563488
seir,8,20,0,0,2.54983215391
seir,8,20,0.125,0.03,2.58541163055
seir,8,20,0.25,0.04,2.61195073799
seir,8,20,0.375,0.1,2.62979207988
seir,8,20,0.5,0.3,2.63651928634
seir,8,20,0.625,0.3,2.63855383005
seir,8,20,0.75,0.3,2.63969162798
seir,8,20,0.875,0.3,2.64014907671
seir,8,20,1,0.3,2.64008695495
sis,12,10,0,0,0.988855210446
sis,12,10,0.125,0,1.0155762973
sis,12,10,0.25,0.03,1.03924226739
sis,12,10,0.375,0.03,1.06050093018
sis,12,10,0.5,0.03,1.08020722462
sis,12,10,0.625,0.03,1.09853070848
sis,12,10,0.75,0.05,1.11557484055
sis,12,10,0.875,0.3,1.12930308392
sis,12,10,1,0.3,1.13817204294
sis,12,20,0,0,0.987095908819
sis,12,20,0.125,0,1.01417670476
sis,12,20,0.25,0.03,1.03985755248
sis,12,20,0.375,0.04,1.06196160549
sis,12,20,0.5,0.04,1.08230692369
sis,12,20,0.625,0.3,1.09597014516
sis,12,20,0.75,0.3,1.10599807195
sis,12,20,0.875,0.3,1.11548772438
sis,12,20,1,0.3,1.12448304377
sis,16,10,0,0,0.990012411401
sis,16,10,0.125,0,1.01792526275
sis,16,10,0.25,0.03,1.04450319697
sis,16,10,0.375,0.03,1.06766363134
sis,16,10,0.5,0.03,1.08937054716
sis,16,10,0.625,0.15,1.10932409255
sis,16,10,0.75,0.15,1.12632263086
sis,16,10,0.875,0.3,1.13967455828
sis,16,10,1,0.3,1.15093553039
sis,20,10,0,0,1.00223572521
sis,20,10,0.125,0.01,1.0293965682
sis,20,10,0.25,0.02,1.05458830562
sis,20,10,0.375,0.08,1.07767973764
sis,20,10,0.5,0.08,1.09772731363
sis,20,10,0.625,0.15,1.11546742206
sis,20,10,0.75,0.15,1.13131576035
sis,20,10,0.875,0.2,1.14584966257
sis,20,10,1,0.3,1.15820228491
sysrisk,5,2,0,0,2.1672727272
sysrisk,5,2,0.125,0.2,2.41934351056
sysrisk,5,2,0.25,0.2,2.5823676261
sysrisk,5,2,0.375,0.3,2.71311910723
sysrisk,5,2,0.5,0.3,2.84532654751
sysrisk,5,2,0.625,0.6,2.97092626877
sysrisk,5,2,0.75,0.6,3.04220068871
sysrisk,5,2,0.875,0.6,3.12939247644
sysrisk,5,2,1,0.6,3.23809523807
sysrisk,5,3,0,0,2.15043461278
sysrisk,5,3,0.125,0.2,2.38367499744
sysrisk,5,3,0.25,0.3,2.57236716725
sysrisk,5,3,0.375,0.3,2.75872626256
sysrisk,5,3,0.5,0.4,2.93552861501
sysrisk,5,3,0.625,0.5,3.01857054801
sysrisk,5,3,0.75,0.5,3.08337963275
sysrisk,5,3,0.875,0.6,3.14715099862
sysrisk,5,3,1,0.6,3.22095238093
sysrisk,5,5,0,0,2.13359609544
sysrisk,5,5,0.125,0.1,2.338510105
sysrisk,5,5,0.25,0.3,2.53008456599
sysrisk,5,5,0.375,0.3,2.68092271999
sysrisk,5,5,0.5,0.5,2.82390066583
sysrisk,5,5,0.625,0.5,2.87558956686
sysrisk,5,5,0.75,0.5,2.93922725139
sysrisk,5,5,0.875,0.5,3.01791776827
sysrisk,5,5,1,0.75,3.10095238093
