example,w_lr,num_updates,M,median_abs_gap_p1,mean_abs_gap_p1,n_seeds
sysrisk,0.75,5000000,0,0.0628571428564,0.11657142857,5
sysrisk,0.75,5000000,0.3,0.0685714285714,0.0678095238095,5
sysrisk,0.75,5000000,0.6,0,0.00685714285682,5
sysrisk,0.75,5000000,1,0.0742857142848,0.0639999999992,5
sysrisk,0.75,10000000,0,0.0723809523802,0.104380952379,5
sysrisk,0.75,10000000,0.3,0.0304761904762,0.0464761904762,5
sysrisk,0.75,10000000,0.6,0.0171428571425,0.0114285714286,5
sysrisk,0.75,10000000,1,0.0399999999993,0.049523809523,5
sysrisk,0.8,5000000,0,0.116190476189,0.119238095236,5
sysrisk,0.8,5000000,0.3,0.0685714285714,0.0613333333333,5
sysrisk,0.8,5000000,0.6,0.0114285714284,0.0114285714286,5
sysrisk,0.8,5000000,1,0.0742857142848,0.0662857142848,5
sysrisk,0.8,10000000,0,0.0723809523802,0.0628571428564,5
sysrisk,0.8,10000000,0.3,0.0228571428571,0.0346666666667,5
sysrisk,0.8,10000000,0.6,0.0171428571425,0.0171428571426,5
sysrisk,0.8,10000000,1,0.0399999999993,0.049523809523,5
sysrisk,0.85,5000000,0,0.116190476189,0.106666666665,5
sysrisk,0.85,5000000,0.3,0.0285714285714,0.0441904761905,5
sysrisk,0.85,5000000,0.6,0.0171428571425,0.0228571428567,5
sysrisk,0.85,5000000,1,0.0742857142848,0.0662857142849,5
sysrisk,0.85,10000000,0,0.0628571428564,0.0502857142851,5
sysrisk,0.85,10000000,0.3,0.04,0.032380952381,5
sysrisk,0.85,10000000,0.6,0.0228571428568,0.021714285714,5
sysrisk,0.85,10000000,1,0.0485714285708,0.0478095238089,5
