example,p,M,relative_improvement_mean,relative_improvement_ci_low,relative_improvement_ci_high,n_seeds
seir,0,0,7.8267199579e-17,-4.70487712832e-05,3.877826822e-05,20
seir,0,0.005,-0.000178802233566,-0.000228498857109,-0.000123473236177,20
seir,0,0.01,-0.000326357414717,-0.000363635610851,-0.000289772974027,20
seir,0,0.02,-0.000507321163409,-0.000543682117186,-0.000469200423762,20
seir,0,0.03,-0.000676767674696,-0.000754342826905,-0.000615372040429,20
seir,0,0.04,-0.000967191821932,-0.00101930695606,-0.000919769260259,20
seir,0,0.05,-0.00255974802219,-0.00277257546801,-0.00230572715465,20
seir,0,0.06,-0.00300748688517,-0.00304072246126,-0.00298099398898,20
seir,0,0.08,-0.00503050167668,-0.00519504285053,-0.00486588606887,20
seir,0,0.1,-0.00820893594385,-0.00881725039617,-0.00758961432568,20
seir,0,0.15,-0.0131854605377,-0.0132093429419,-0.0131457973402,20
seir,0,0.2,-0.0204580819507,-0.0204580819507,-0.0204580819507,20
seir,0,0.3,-0.0237600981656,-0.0239208211798,-0.0235993751515,20
seir,0,0.5,-0.024161905701,-0.024161905701,-0.024161905701,20
seir,0,0.75,-0.024161905701,-0.024161905701,-0.024161905701,20
seir,0,1,-0.024161905701,-0.024161905701,-0.024161905701,20
seir,0.125,0,-7.70217223334e-17,-0.000259679718463,0.000298502206239,20
seir,0.125,0.005,0.00123544155665,0.000882474034562,0.00152325474799,20
seir,0.125,0.01,0.00176486664699,0.00173615161181,0.00179571722966,20
seir,0.125,0.02,0.00196246429291,0.00189777491364,0.00202414828081,20
seir,0.125,0.03,0.00201803339158,0.00195305520973,0.0020730923074,20
seir,0.125,0.04,0.00200700845205,0.00196092174636,0.00203843413889,20
seir,0.125,0.05,0.00100668755015,0.000865912107056,0.00117717224806,20
seir,0.125,0.06,0.000757671341118,0.000737646664751,0.000773213419905,20
seir,0.125,0.08,-0.000417266324947,-0.000513620279372,-0.000323009395585,20
seir,0.125,0.1,-0.00228283948899,-0.00263248765182,-0.00192488610621,20
seir,0.125,0.15,-0.00579804918167,-0.00582623779078,-0.00576256887204,20
seir,0.125,0.2,-0.0106480427434,-0.0106480427434,-0.0106480427434,20
seir,0.125,0.3,-0.0131331907181,-0.0132624720234,-0.0130039094127,20
seir,0.125,0.5,-0.0134563939815,-0.0134563939815,-0.0134563939815,20
seir,0.125,0.75,-0.0134563939815,-0.0134563939815,-0.0134563939815,20
seir,0.125,1,-0.0134563939815,-0.0134563939815,-0.0134563939815,20
seir,0.25,0,2.53703308362e-17,-0.000561693738292,0.000644541505178,20
seir,0.25,0.005,0.00271231373274,0.00192607225726,0.00335447530036,20
seir,0.25,0.01,0.00395719913858,0.00389304480603,0.00402217601448,20
seir,0.25,0.02,0.00441684071802,0.00429028818872,0.00454177166483,20
seir,0.25,0.03,0.00462531573052,0.00453946069437,0.00470605780194,20
seir,0.25,0.04,0.00481381534548,0.00476307871303,0.00484505912574,20
seir,0.25,0.05,0.00423973600764,0.00414608032444,0.00435124276202,20
seir,0.25,0.06,0.00415456746284,0.00414285907197,0.00416165577788,20
seir,0.25,0.08,0.00385694010624,0.00382926740956,0.00388446442611,20
seir,0.25,0.1,0.00338169875257,0.00326913516149,0.00349493552303,20
seir,0.25,0.15,0.00146248410214,0.00141358459325,0.00151879420376,20
seir,0.25,0.2,-0.00199683624401,-0.00199683624401,-0.00199683624401,20
seir,0.25,0.3,-0.0037131630933,-0.00381161728511,-0.00361470890148,20
seir,0.25,0.5,-0.00395929857284,-0.00395929857284,-0.00395929857284,20
seir,0.25,0.75,-0.00395929857284,-0.00395929857284,-0.00395929857284,20
seir,0.25,1,-0.00395929857284,-0.00395929857284,-0.00395929857284,20
seir,0.375,0,-1.25480138433e-16,-0.000869940037258,0.000988643216759,20
seir,0.375,0.005,0.00416605064446,0.00296171633721,0.00515367347556,20
