run_id,stage,task,example,runtime_seconds,status,S,A,coverage_min,min_visits_min,final_residual_max
s0_seir_convergence_seed00,stage0_smoke,convergence,seir,0.557,done,35,4,100.0,14.0,9.105205478476819e-10
s0_seir_ideal,stage0_smoke,idealized_profile,seir,0.353,done,35,4,,,9.105205478476819e-10
s0_seir_sampled_seed00,stage0_smoke,sampled_profile,seir,0.223,done,35,4,100.0,14.0,
s0_sis_convergence_seed00,stage0_smoke,convergence,sis,0.120,done,9,4,100.0,27.0,6.984921530062138e-10
s0_sis_ideal,stage0_smoke,idealized_profile,sis,0.042,done,9,4,,,6.984921530062138e-10
s0_sis_sampled_seed00,stage0_smoke,sampled_profile,sis,0.106,done,9,4,100.0,27.0,
s0_sysrisk_convergence_seed00,stage0_smoke,convergence,sysrisk,0.730,done,6,216,100.0,2.0,5.787530454881562e-10
s0_sysrisk_ideal,stage0_smoke,idealized_profile,sysrisk,0.481,done,6,216,,,5.787530454881562e-10
s0_sysrisk_sampled_seed00,stage0_smoke,sampled_profile,sysrisk,0.430,done,6,216,100.0,2.0,
s1_lambda_seir,stage1_idealized,lambda_sensitivity,seir,19.613,done,,,,,
s1_lambda_sis,stage1_idealized,lambda_sensitivity,sis,0.666,done,,,,,
s1_lambda_sysrisk,stage1_idealized,lambda_sensitivity,sysrisk,8.823,done,,,,,
s1_seir_main,stage1_idealized,idealized_profile,seir,36.146,done,165,11,,,9.800382727576107e-10
s1_sis_main,stage1_idealized,idealized_profile,sis,0.837,done,13,11,,,7.450582373280668e-10
s1_sysrisk_fine,stage1_idealized,idealized_profile,sysrisk,410.863,done,21,9261,,,9.313225746154785e-10
s1_sysrisk_samegrid,stage1_idealized,idealized_profile,sysrisk,9.364,done,21,216,,,9.995089200742768e-10
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sampled_profile,sysrisk,1054.709,done,21,216,100.0,1102.0,
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sampled_profile,sysrisk,1077.276,done,21,216,100.0,1102.0,
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sampled_profile,sysrisk,1046.592,done,21,216,100.0,1102.0,
s2_sysrisk_w075_u05m_seed03,stage2_sysrisk_screen,sampled_profile,sysrisk,1059.998,done,21,216,100.0,1102.0,
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sampled_profile,sysrisk,1049.247,done,21,216,100.0,1102.0,
